"Fact","Fact Note","Teton County, Idaho","Value Note for Teton County, Idaho"
"Population estimates, July 1, 2024, (V2024)","","12,932",""
"Population estimates, July 1, 2023, (V2023)","","12,549",""
"Population estimates base, April 1, 2020, (V2024)","","11,630",""
"Population estimates base, April 1, 2020, (V2023)","","11,631",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","11.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","7.9%",""
"Population, Census, April 1, 2020","","11,630",""
"Population, Census, April 1, 2010","","10,170",""
"Persons under 5 years, percent","","4.8%",""
"Persons under 18 years, percent","","21.2%",""
"Persons 65 years and over, percent","","15.1%",""
"Female persons, percent","","47.9%",""
"White alone, percent","","95.8%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.0%",""
"Asian alone, percent (a)","(a)","0.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.7%",""
"Hispanic or Latino, percent (b)","(b)","17.1%",""
"White alone, not Hispanic or Latino, percent","","80.3%",""
"Veterans, 2019-2023","","341",""
"Foreign-born persons, percent, 2019-2023","","9.8%",""
"Housing Units, July 1, 2023, (V2023)","","6,855",""
"Owner-occupied housing unit rate, 2019-2023","","79.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$595,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,883",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$615",""
"Median gross rent, 2019-2023","","$1,196",""
"Building Permits, 2023","","360",""
"Households, 2019-2023","","4,573",""
"Persons per household, 2019-2023","","2.64",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","14.6%",""
"Households with a computer, percent, 2019-2023","","98.2%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","94.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","48.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","5.6%",""
"Persons without health insurance, under age 65 years, percent","","14.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","73.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","39,755",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","42,488",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","22,896",""
"Total retail sales, 2022 ($1,000)","(c)","172,378",""
"Total retail sales per capita, 2022","(c)","$13,769",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.9",""
"Median households income (in 2023 dollars), 2019-2023","","$90,740",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,968",""
"Persons in poverty, percent","","6.6%",""
"Total employer establishments, 2022","","616",""
"Total employment, 2022","","3,279",""
"Total annual payroll, 2022 ($1,000)","","170,764",""
"Total employment, percent change, 2021-2022","","5.2%",""
"Total nonemployer establishments, 2022","","2,027",""
"All employer firms, Reference year 2022","","635",""
"Men-owned employer firms, Reference year 2022","","284",""
"Women-owned employer firms, Reference year 2022","","90",""
"Minority-owned employer firms, Reference year 2022","","20",""
"Nonminority-owned employer firms, Reference year 2022","","567",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","579",""
"Population per square mile, 2020","","25.9",""
"Population per square mile, 2010","","22.6",""
"Land area in square miles, 2020","","449.09",""
"Land area in square miles, 2010","","449.46",""
"FIPS Code","","""16081""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
