"Fact","Fact Note","Vega Baja Municipio, Puerto Rico","Value Note for Vega Baja Municipio, Puerto Rico"
"Population estimates, July 1, 2024, (V2024)","","53,709",""
"Population estimates, July 1, 2023, (V2023)","","53,527",""
"Population estimates base, April 1, 2020, (V2024)","","54,414",""
"Population estimates base, April 1, 2020, (V2023)","","54,414",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-1.6%",""
"Population, Census, April 1, 2020","","54,414",""
"Population, Census, April 1, 2010","","59,662",""
"Persons under 5 years, percent","","3.2%",""
"Persons under 18 years, percent","","15.5%",""
"Persons 65 years and over, percent","","23.8%",""
"Female persons, percent","","52.4%",""
"White alone, percent","","25.3%",""
"Black alone, percent (a)","(a)","4.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.0%",""
"Asian alone, percent (a)","(a)","0.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.0%",""
"Two or More Races, percent","","49.2%",""
"Hispanic or Latino, percent (b)","(b)","98.1%",""
"White alone, not Hispanic or Latino, percent","","1.4%",""
"Veterans, 2019-2023","","1,002",""
"Foreign-born persons, percent, 2019-2023","","0.8%",""
"Housing Units, July 1, 2023, (V2023)","","X",""
"Owner-occupied housing unit rate, 2019-2023","","75.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$117,700",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$880",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$171",""
"Median gross rent, 2019-2023","","$599",""
"Building Permits, 2023","","X",""
"Households, 2019-2023","","20,482",""
"Persons per household, 2019-2023","","2.63",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","94.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","96.4%",""
"Households with a computer, percent, 2019-2023","","86.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","66.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","77.5%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.9%",""
"Persons without health insurance, under age 65 years, percent","","12.6%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","43.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","37.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","44,062",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","119,176",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,174",""
"Total retail sales, 2022 ($1,000)","(c)","269,360",""
"Total retail sales per capita, 2022","(c)","$5,021",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","29.4",""
"Median households income (in 2023 dollars), 2019-2023","","$23,877",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$15,647",""
"Persons in poverty, percent","","42.3%",""
"Total employer establishments, 2022","","438",""
"Total employment, 2022","","5,469",""
"Total annual payroll, 2022 ($1,000)","","238,005",""
"Total employment, percent change, 2021-2022","","-5.2%",""
"Total nonemployer establishments, 2022","","X",""
"All employer firms, Reference year 2022","","X",""
"Men-owned employer firms, Reference year 2022","","X",""
"Women-owned employer firms, Reference year 2022","","X",""
"Minority-owned employer firms, Reference year 2022","","X",""
"Nonminority-owned employer firms, Reference year 2022","","X",""
"Veteran-owned employer firms, Reference year 2022","","X",""
"Nonveteran-owned employer firms, Reference year 2022","","X",""
"Population per square mile, 2020","","1,186.8",""
"Population per square mile, 2010","","1,301.1",""
"Land area in square miles, 2020","","45.85",""
"Land area in square miles, 2010","","45.86",""
"FIPS Code","","""72145""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
